员工编号,工资期间,基本工资,固定补贴,本期奖金,税前应发,模拟收款账户
E1001,2026-07,42000,1800,5500,49300,SIM-ACCOUNT-E1001
E1002,2026-07,30000,1200,3000,34200,SIM-ACCOUNT-E1002
E1003,2026-07,26000,1000,1500,28500,SIM-ACCOUNT-E1003
E1004,2026-07,24000,800,2000,26800,SIM-ACCOUNT-E1004
E1005,2026-07,38000,2000,7500,47500,SIM-ACCOUNT-E1005
E1006,2026-07,34000,1600,3500,39100,SIM-ACCOUNT-E1006
E1007,2026-07,28000,1200,2000,31200,SIM-ACCOUNT-E1007
E1008,2026-07,22000,800,1300,24100,SIM-ACCOUNT-E1008
E1009,2026-07,25000,1000,1700,27700,SIM-ACCOUNT-E1009
E1010,2026-07,20000,800,1300,22100,SIM-ACCOUNT-E1010
E1011,2026-07,32000,1000,2300,35300,SIM-ACCOUNT-E1011
E1012,2026-07,23000,1200,1500,25700,SIM-ACCOUNT-E1012
